SaleID,DateKey,BranchKey,EmployeeKey,ProductKey,Quantity,Revenue,Cost,TargetAmount
100000,20250901,103,12,204,1,3861,2702.7,2875
100001,20250416,106,18,201,1,2506,2054.92,5940
100002,20250103,101,6,202,5,7323,5126.1,2030
100003,20240808,109,28,210,1,7426,4901.16,2036
100004,20240222,109,27,201,4,4620,3280.2,5101
100005,20250429,107,20,204,3,3272,2879.36,702
100006,20241215,103,8,208,5,7744,5962.88,2775
100007,20241025,106,7,205,5,3690,2583,9364
100008,20250205,102,24,205,4,6776,4810.96,8247
100009,20241208,104,7,208,5,4174,3506.16,3340
100010,20240117,108,29,210,5,1106,796.32,7381
100011,20250328,104,8,205,3,1677,1207.44,4237
100012,20251122,101,25,204,1,5643,3950.1,2482
100013,20240309,110,11,203,5,4850,4025.5,9152
100014,20250517,106,21,210,1,7519,6315.96,1175
100015,20250903,104,19,208,5,919,680.06,7586
100016,20240507,110,9,204,2,7420,5490.8,4694
100017,20251017,102,22,202,3,736,625.6,9469
100018,20251102,102,24,206,4,4085,2736.95,1928
100019,20250408,107,11,201,4,7985,5190.25,3396
100020,20241127,105,12,202,5,3227,2323.44,6909
100021,20250813,107,19,209,2,4345,3476,8805
100022,20240203,102,27,205,1,7410,6298.5,5525
100023,20250418,110,7,201,2,5874,3994.32,4100
100024,20240513,107,18,207,3,5650,3672.5,5277
100025,20240529,104,6,202,1,3331,2731.42,3903
100026,20250423,101,23,209,5,4818,4288.02,6821
100027,20240801,102,26,204,3,1595,1276,1488
100028,20250924,103,13,202,2,7476,6653.64,7904
100029,20250208,103,16,203,4,7008,5676.48,3038
100030,20250114,107,19,208,2,475,299.25,763
100031,20250428,101,30,205,1,5393,3289.73,7533
100032,20250719,107,25,207,1,2777,1943.9,1745
100033,20240425,102,13,202,4,1841,1472.8,6940
100034,20240301,105,20,206,1,5591,3913.7,7425
100035,20250427,105,8,206,4,3937,3267.71,3831
100036,20240219,102,11,206,3,340,231.2,1693
100037,20251112,103,9,210,1,4814,3369.8,1533
100038,20250916,102,11,208,5,7929,5708.88,8705
100039,20251214,103,19,201,3,1486,1144.22,8686
100040,20250918,102,14,207,3,6684,5146.68,2448
100041,20250129,101,17,203,1,1341,1193.49,1272
100042,20240906,101,9,205,1,4664,3731.2,2429
100043,20250521,102,21,208,5,1258,918.34,8516
100044,20240908,104,16,205,5,855,564.3,4537
100045,20251030,104,21,205,5,1513,1043.97,539
100046,20250112,107,30,207,3,1152,864,9302
100047,20250718,106,10,205,4,7356,5590.56,6680
100048,20240803,102,14,204,5,3761,3234.46,5398
100049,20250701,102,30,204,3,2035,1790.8,3081
100050,20240201,109,7,207,5,6954,5563.2,8204
100051,20250406,108,29,201,1,5174,3156.14,2361
100052,20250506,107,21,203,2,4643,4132.27,8391
100053,20250328,104,6,205,4,843,606.96,6932
100054,20250424,103,8,201,4,6812,4495.92,1385
100055,20250407,105,9,204,2,6993,6013.98,3768
100056,20240926,103,17,202,4,6563,4462.84,4805
100057,20240907,108,23,208,3,4136,3598.32,6677
100058,20250412,109,20,206,2,2786,1838.76,5154
100059,20240628,103,9,204,5,6781,4272.03,643
100060,20250606,103,7,206,4,111,77.7,1726
100061,20240808,109,20,208,4,2035,1790.8,4731
100062,20251102,109,19,206,4,3845,3460.5,7877
100063,20251116,103,23,205,3,1568,1332.8,6266
100064,20240304,102,20,209,1,3379,2263.93,9706
100065,20241014,107,14,202,4,4170,2835.6,1939
100066,20240701,102,28,202,3,3434,2644.18,3528
100067,20250721,101,16,204,3,4415,3576.15,790
100068,20250117,103,28,205,1,3874,2750.54,9340
100069,20240903,104,17,203,4,4098,3237.42,5295
100070,20241005,107,29,205,3,5690,3527.8,1429
100071,20241004,101,15,204,3,3602,2737.52,8663
100072,20251120,108,7,204,1,836,627,7589
100073,20241120,103,22,205,2,6492,4998.84,3888
100074,20250818,109,17,208,2,5417,3629.39,5023
100075,20241118,105,28,210,2,5437,3697.16,4723
100076,20240202,109,29,202,1,107,86.67,744
100077,20251208,108,11,201,5,3996,3156.84,1659
100078,20240214,109,22,206,3,5916,4614.48,8329
100079,20250504,104,13,205,2,5019,3714.06,9180
100080,20251030,103,26,209,5,5427,4667.22,9633
100081,20250123,109,25,203,2,5107,3932.39,3330
100082,20250727,105,26,204,3,4490,3681.8,5524
100083,20251229,107,20,210,1,7388,5393.24,3063
100084,20240922,106,27,206,3,6936,4716.48,5598
